zip,name,latitude,longitude
9831,"Deurle",51.0041,3.6147
9840,"De Pinte",50.9934,3.6475
9850,"Landegem",51.0552,3.5767
9860,"Scheldewindeke",50.9344,3.7866
9870,"Olsene",50.9342,3.4639
9880,"Poeke",51.0394,3.4454
9881,"Bellem",51.094,3.4928
9890,"Semmerzake",50.9437,3.6632
9900,"Eeklo",51.187,3.5565
9910,"Knesselare",51.1393,3.4128
9920,"Lovendegem",51.1017,3.613
9921,"Vinderhoute",51.0876,3.6416
9930,"Zomergem",51.1199,3.565
9931,"Oostwinkel",51.1515,3.532
9932,"Ronsele",51.1306,3.5518
9940,"Sleidinge",51.1336,3.674
9950,"Waarschoot",51.1525,3.605
9960,"Assenede",51.226,3.7509
9961,"Boekhoute",51.2586,3.7178
9968,"Oosteeklo",51.193,3.6893
9970,"Kaprijke",51.2172,3.6152
9971,"Lembeke",51.1949,3.6333
9980,"Sint-Laureins",51.242,3.5244
9981,"Sint-Margriete",51.2822,3.5464
9982,"Sint-Jan-In-Eremo",51.2716,3.5806
9988,"Waterland-Oudeman",51.2887,3.5899
9990,"Maldegem",51.2074,3.4451
9991,"Adegem",51.2051,3.4954
9992,"Middelburg",51.2561,3.416
8000,"Brugge",51.2089,3.2242
8020,"Hertsberge",51.1073,3.2694
8200,"Sint-Andries",51.197,3.1789
8210,"Veldegem",51.1048,3.1591
8211,"Aartrijke",51.1191,3.0908
8300,"Westkapelle",51.3151,3.3017
8301,"Ramskapelle",51.3151,3.2506
8310,"Assebroek",51.1937,3.2623
8340,"Lapscheure",51.2777,3.3566
8370,"Blankenberge",51.3131,3.1323
8377,"Meetkerke",51.2354,3.1517
8380,"Lissewege",51.2943,3.1933
8400,"Stene",51.2044,2.9126
8420,"De Haan",51.2703,3.0531
8421,"Vlissegem",51.2553,3.056
8430,"Middelkerke",51.1853,2.8208
8431,"Wilskerke",51.1812,2.84
8432,"Leffinge",51.1758,2.8758
8433,"Mannekensvere",51.126,2.818
8434,"Westende",51.1596,2.7687
8450,"Bredene",51.2349,2.9756
8460,"Westkerke",51.1645,3.0108
8470,"Zevekote",51.1377,2.9206
8480,"Ichtegem",51.0957,3.0155
8490,"Zerkegem",51.1664,3.0699
8500,"Kortrijk",50.828,3.2649
8501,"Heule",50.8375,3.2382
8510,"Bellegem",50.7769,3.2793
8511,"Aalbeke",50.7785,3.2295
8520,"Kuurne",50.8514,3.2824
8530,"Harelbeke",50.8534,3.3094
8531,"Hulste",50.8822,3.295
8540,"Deerlijk",50.8534,3.3542
8550,"Zwevegem",50.8127,3.3385
8551,"Heestert",50.782,3.4122
8552,"Moen",50.7701,3.3948
8553,"Otegem",50.8069,3.4204
8554,"Sint-Denijs",50.752,3.3663
8560,"Gullegem",50.843,3.2047
8570,"Anzegem",50.837,3.4779
8572,"Kaster",50.8133,3.4959
8573,"Tiegem",50.809,3.4748
8580,"Avelgem",50.7762,3.445
8581,"Kerkhove",50.7985,3.5027
8582,"Outrijve",50.7577,3.4296
8583,"Bossuit",50.7485,3.4082
8587,"Helchin",50.7321,3.3841
8600,"Vladslo",51.0464,2.916
8610,"Kortemark",51.0295,3.0411
8620,"Sint-Joris",51.1303,2.7782
8630,"Booitshoeke",51.0904,2.7421
8640,"Westvleteren",50.9274,2.7169
8647,"Lo",50.9804,2.7496
8650,"Merkem",50.9528,2.8523
8660,"De Panne",51.0979,2.5937
8670,"Wulpen",51.1,2.7
8680,"Koekelare",51.0905,2.9783
8690,"Alveringem",51.0124,2.7112
8691,"Izenberge",50.9939,2.6546
8700,"Tielt",50.9993,3.3271
8710,"Ooigem",50.8933,3.3363
8720,"Dentergem",50.9643,3.4162
8730,"Sint-Joris",51.1266,3.3652
8740,"Egem",51.0153,3.2585
8750,"Wingene",51.0578,3.2736
8755,"Ruiselede",51.0404,3.3942
8760,"Meulebeke",50.9514,3.288
8770,"Ingelmunster",50.9208,3.2557
8780,"Oostrozebeke",50.9209,3.338
8790,"Waregem",50.889,3.4276
8791,"Beveren",50.8754,3.3403
8792,"Desselgem",50.8861,3.3596
8793,"Sint-Eloois-Vijve",50.9091,3.4155
8800,"Oekene",50.9179,3.1568
8810,"Lichtervelde",51.0333,3.15
8820,"Torhout",51.0656,3.1008
8830,"Hooglede",50.9833,3.0833
8840,"Oostnieuwkerke",50.9396,3.0574
8850,"Ardooie",50.9757,3.1974
8851,"Koolskamp",51.0023,3.2104
8860,"Lendelede",50.8863,3.2375
8870,"Kachtem",50.9334,3.1942
8880,"Ledegem",50.8579,3.1241
8890,"Dadizele",50.8514,3.0947
8900,"Ieper",50.8511,2.8857
8902,"Voormezele",50.8168,2.8762
8904,"Zuidschote",50.9159,2.8374
8906,"Elverdinge",50.8848,2.8171
8908,"Vlamertinge",50.8549,2.8202
8920,"Poelkapelle",50.9179,2.9568
8930,"Rekkem",50.7837,3.1635
8940,"Wervik",50.7807,3.0385
8950,"Nieuwkerke",50.7471,2.8286
8951,"Dranouter",50.766,2.7839
8952,"Wulvergem",50.7602,2.8524
8953,"Wijtschate",50.7863,2.8837
8954,"Westouter",50.7972,2.7465
8956,"Kemmel",50.7833,2.8271
8957,"Messines",50.7658,2.8976
8958,"Loker",50.7817,2.7723
8970,"Poperinge",50.8539,2.7266
8972,"Roesbrugge-Haringe",50.9181,2.6254
8978,"Watou",50.8586,2.6207
8980,"Zonnebeke",50.8726,2.9873
1300,"Limal",50.6948,4.5754
1301,"Bierges",50.7114,4.5866
1310,"La Hulpe",50.7309,4.4858
1315,"Incourt",50.6915,4.7982
1320,"Hamme-Mille",50.7802,4.7173
1325,"Bonlez",50.7021,4.6886
1330,"Rixensart",50.7123,4.5253
1331,"Rosières",50.731,4.5447
1332,"Genval",50.7216,4.4938
1340,"Ottignies-Louvain-La-Neuve",50.6671,4.5502
1341,"Céroux-Mousty",50.6609,4.5207
1342,"Limelette",50.6843,4.5719
1348,"Louvain-La-Neuve",50.6683,4.6144
1350,"Orp-Jauche",50.6839,4.9493
1357,"Linsmeau",50.7356,4.9998
1360,"Malèves-Sainte-Marie-Wastinnes",50.6388,4.7947
1367,"Gérompont",50.6481,4.8814
1370,"Mélin",50.74,4.8288
1380,"Couture-Saint-Germain",50.6748,4.4726
1390,"Grez-Doiceau",50.739,4.6983
